Min Dist,Classification
2.60241961,INF
2.60344458,INF
2.60618901,INF
2.60725689,INF
2.60973883,INF
2.61517143,INF
2.61549997,IND
2.61591339,IND
2.61629868,IND
2.61655855,INF
2.6176796,INF
2.61967421,IND
2.62054372,INF
2.62333965,INF
2.62717009,INF
2.6308074,INF
2.63135982,INF
2.63203168,INF
2.63285804,INF
2.63433051,INF
2.63456798,INF
2.63464808,INF
2.63686562,INF
2.63947201,INF
2.64178348,INF
2.64318442,INF
2.64650893,INF
2.6538589,INF
2.6563251,IND
2.65976429,MEAS
2.66243005,MEAS
2.66706657,MEAS
2.66734982,MEAS
2.66760731,MEAS
2.66994357,MEAS
2.6731689,MEAS
2.67376041,MEAS
2.67549419,MEAS
2.67957997,MEAS
2.68066692,MEAS
2.68163443,MEAS
2.68608689,MEAS
2.6861558,MEAS
2.68665075,MEAS
2.68970609,MEAS
2.69038391,MEAS
2.69052935,MEAS
2.69286323,MEAS
2.69403505,MEAS
2.69430399,MEAS
2.69482422,MEAS
2.69970226,MEAS
2.70001459,MEAS
2.70297837,MEAS
2.70527625,MEAS
2.70540595,MEAS
2.70540595,MEAS
2.70540595,MEAS
2.70540595,MEAS
2.70540595,MEAS
2.7072134,MEAS
2.70895243,MEAS
2.71060848,MEAS
2.71092868,MEAS
2.71095133,MEAS
2.71285868,MEAS
2.71467495,MEAS
2.71468282,MEAS
2.71517587,MEAS
2.71591353,MEAS
2.71601033,MEAS
2.71639991,MEAS
2.71713042,MEAS
2.71735239,MEAS
2.71803379,MEAS
2.71936655,MEAS
2.72148108,MEAS
2.72237015,MEAS
2.72371936,MEAS
2.72702003,MEAS
2.72795367,MEAS
2.72977138,MEAS
2.73093748,MEAS
2.73136234,MEAS
2.73143601,MEAS
2.73262644,MEAS
2.73570371,MEAS
2.73774767,MEAS
2.7383132,MEAS
2.73920631,MEAS
2.74535108,MEAS
2.74727321,MEAS
2.74843407,MEAS
2.74998569,MEAS
2.75729561,MEAS
2.75832081,MEAS
2.7622695,MEAS
2.76272178,MEAS
2.76305079,MEAS
2.76621866,MEAS
2.767977,MEAS
2.76966715,MEAS
2.77166438,INF
2.77171922,IND
2.77298522,IND
2.77658057,INF
2.77719975,INF
2.77729821,INF
2.77740669,INF
2.77902079,INF
2.78006935,INF
2.78093314,IND
2.78345251,INF
2.78444028,IND
2.78661442,INF
2.78673029,INF
2.78990364,INF
2.79297304,INF
2.79415178,INF
2.7954309,INF
